Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.ehNoveDigitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,1,,,,8,,,1,5,0,,,,4,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,1,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorValor.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorValor.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,0,,,,4,,,2,2,0,,,,2,1,0,2,3,2,,,2,,,2,2,2,1,0,,,,,0,,0,0,,,0.00,2,2,2,1
Static Method,br.com.concrete.canarinho.formatador.FormatadorValor.getInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,0,,,,5,,,1,3,6,,,,1,1,0,1,2,1,,,1,,,2,2,2,1,0,,,,,0,,0,0,,,1.20,2,2,2,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorValor.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,3,0,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.paste.(Anon_1).getConstraints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,,,,1,,,,8,,,1,6,3,,,,6,2,0,3,5,2,,,4,,,2,2,2,1,1,,,,,0,,1,0,,,0.38,2,2,2,1
Public Method,br.com.concrete.canarinho.sample.ui.activity.MainActivity.onCreate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,,,,4,,,,15,,,5,12,0,,,,11,2,0,11,13,5,,,12,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.sample.ui.fragment.CanarinhoValorMonetarioWatcherFragment.bind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,,,,4,,,,13,,,1,10,0,,,,11,2,0,6,8,1,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.sample.ui.fragment.WatcherFragment.bind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,2,,,,10,,,1,7,0,,,,9,2,0,6,8,1,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCEP.assertThrowsDesformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCEP.assertThrowsFormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorCEP.consegueDizerSeEstaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,2,,,,13,,,1,10,1,,,,4,2,0,8,10,1,,,9,,,2,2,2,1,1,,,,,0,,1,0,,,0.08,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCNPJ.assertThrowsDesformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCNPJ.assertThrowsFormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorCNPJ.consegueDizerSeEstaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,,2,,,,13,,,1,10,1,,,,4,2,0,8,10,1,,,9,,,2,2,2,1,1,,,,,0,,1,0,,,0.08,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCPF.assertThrowsDesformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCPF.assertThrowsFormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorCPF.consegueDizerSeEstaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,,,,2,,,,17,,,1,14,1,,,,4,2,0,12,14,1,,,13,,,2,2,2,1,1,,,,,0,,1,0,,,0.06,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCPFCNPJ.assertThrowsDesformat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.test.TesteFormatadorCPFCNPJ.assertThrowsFormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,1,4,0,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorTelefone.consegueDesformatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,2,,,,11,,,1,8,0,,,,4,2,0,4,6,1,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorTelefone.consegueDizerSeEstaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,,,2,,,,12,,,1,9,0,,,,4,2,0,7,9,1,,,8,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorTelefone.consegueDizerSePodeFormatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,2,,,,11,,,1,8,0,,,,4,2,0,6,8,1,,,7,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorTelefone.consegueFormatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,2,,,,11,,,1,8,0,,,,4,2,0,4,6,1,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorValor.consegueDizerSeEstaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,2,,,,10,,,1,7,0,,,,4,2,0,5,7,1,,,6,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.test.TesteFormatadorValor.consegueDizerSePodeFormatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,,,2,,,,11,,,1,8,0,,,,4,2,0,6,8,1,,,7,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,br.com.concrete.canarinho.validator.ValidadorBoleto.ehValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,2,,,,7,,,2,4,0,,,,5,2,0,3,5,2,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Private Method,br.com.concrete.canarinho.validator.ValidadorCPFCNPJ.ehCpf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,1,,,,7,,,2,4,0,,,,4,2,0,3,5,2,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Protected Method,br.com.concrete.canarinho.watcher.BaseCanarinhoTextWatcher.atualizaTexto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,,,,3,,,,11,,,2,7,10,,,,8,2,0,6,8,1,,,7,,,2,2,2,1,0,,,,,0,,1,0,,,0.91,2,2,2,1
Protected Method,br.com.concrete.canarinho.watcher.BaseCanarinhoTextWatcher.trataAdicaoRemocaoDeCaracter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,,,,0,,,,5,,,1,3,7,,,,4,1,0,1,2,1,,,1,,,2,2,2,1,0,,,,,0,,0,0,,,1.40,2,2,2,1
Public Method,br.com.concrete.canarinho.watcher.CEPTextWatcher.afterTextChanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,,,,4,,,,8,,,2,5,0,,,,4,2,0,4,6,2,,,5,,,2,2,2,1,1,,,,,0,,1,0,,,0.00,2,2,2,1
Constructor,br.com.concrete.canarinho.watcher.ValorMonetarioWatcher.ValorMonetarioWatcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,,,,0,,,,6,,,1,4,6,,,,3,1,0,2,3,1,,,2,,,2,2,2,1,0,,,,,0,,0,0,,,1.00,2,2,2,1
Private Method,br.com.concrete.canarinho.watcher.ValorMonetarioWatcher.atualizaTexto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,,,,5,,,,11,,,2,8,1,,,,8,2,0,7,9,2,,,8,,,2,2,2,1,0,,,,,0,,1,0,,,0.09,2,2,2,1
File,BaseWatcherFragment.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,,,,1,,0,0,0,1,,13,,,,4,,,,9,,,6,1,0,,,,,,,5,7,6,,,1,,,,,,,,1,1,1,1,,,0,,,,0.00,1,1,1,1
File,Formatador.java,1,1,1,1,2,0,2,0,,,,,2,0,7,1,,5,5,9,,,,5,,4,1,0,0,,134,,,,23,,,,51,,,32,39,60,,,,,,,22,25,25,,,16,,,,,,,,1,1,1,1,,,0,,,,1.18,1,1,1,1
Abstract Class,br.com.concrete.canarinho.formatador.Formatador.Padroes,1,1,1,1,2,0,2,0,1,1,1,0,,0,7,,,,1,0,,,,1,1,0,1,0,0,,28,,,,6,,,,19,,,13,15,3,,,,,,,7,9,9,,,7,,,,,,,,1,1,1,1,,1,0,,0,0,0.16,1,1,1,1
Public Abstract Class,br.com.concrete.canarinho.sample.ui.fragment.BaseWatcherFragment,1,1,1,1,3,0,3,0,1,1,1,2,,0,0,,,,1,1,,,,1,1,0,0,0,1,,8,,,,2,,,,6,,,3,1,0,,,,,,,2,4,3,,,1,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,1,1,1,1
Anonymous Class,br.com.concrete.canarinho.test.watcher.BoletoTextWatcherTest.setUp.(Anon_1),1,1,1,1,11,3,8,0,1,8,8,0,,0,0,,,,1,0,,,,1,1,0,0,0,1,,13,,,,3,,,,10,,,3,8,0,,,,,,,5,6,3,,,5,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.comMultiplicadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,,,0,,,,5,,,1,3,8,,,,4,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,1.60,1,1,1,1
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.complementarAoModulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,0,,,,4,,,1,2,8,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,2.00,1,1,1,1
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.mod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,,,,0,,,,4,,,1,2,7,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.75,1,1,1,1
Public Method,br.com.concrete.canarinho.DigitoPara.Builder.somandoIndividualmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,0,,,,4,,,1,2,9,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,2.25,1,1,1,1
Private Constructor,br.com.concrete.canarinho.DigitoPara.DigitoPara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,,1,,,,7,,,1,5,0,,,,6,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,br.com.concrete.canarinho.DigitoPara.somaDigitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.Formatador.Padroes.Padroes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Constructor,br.com.concrete.canarinho.formatador.FormatadorBase.FormatadorBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,1,,,,10,,,5,4,8,,,,5,1,0,4,5,1,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.80,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.FormatadorBoleto.FormatadorBoleto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Static Method,br.com.concrete.canarinho.formatador.FormatadorBoleto.getInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.FormatadorCEP.FormatadorCEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCEP.desformata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCEP.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorCEP.formata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Static Method,br.com.concrete.canarinho.formatador.FormatadorCEP.getInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.FormatadorCPFCNPJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Static Method,br.com.concrete.canarinho.formatador.FormatadorCPFCNPJ.getInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.FormatadorLinhaDigitavel.FormatadorLinhaDigitavel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorLinhaDigitavel.estaFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Static Method,br.com.concrete.canarinho.formatador.FormatadorLinhaDigitavel.getInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.formatador.FormatadorLinhaDigitavel.podeSerFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,5,,,1,3,0,,,,4,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.FormatadorTelefone.FormatadorTelefone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,1,0,0,,,,1,1,0,0,1,1,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Static Method,br.com.concrete.canarinho.formatador.FormatadorTelefone.getInstance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Constructor,br.com.concrete.canarinho.formatador.FormatadorValor.FormatadorValor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.BugOnApi28Test.moneyFormatSuccessfulRunsOnApi27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,2,2,0,,,,2,1,0,2,3,2,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.BugOnApi28Test.moneyFormatSuccessfulRunsOnApi28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,2,2,0,,,,2,1,0,2,3,2,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarCPFCNPJInvalido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,3,,,,7,,,1,5,0,,,,11,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarCPFCNPJValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,2,,,,7,,,1,5,0,,,,12,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmBoletoNormalComBlocosInvalidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,,,,4,,,,12,,,1,10,3,,,,11,1,0,7,8,1,,,7,,,1,1,1,1,0,,,,,0,,0,0,,,0.25,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmBoletoNormalComBlocosInvalidosComMensagemCustomizada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,,,,4,,,,12,,,1,10,3,,,,11,1,0,7,8,1,,,7,,,1,1,1,1,0,,,,,0,,0,0,,,0.25,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmBoletoNormalValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,3,,,,6,,,1,4,0,,,,10,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmBoletoTributoValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,,,,5,,,,13,,,1,11,1,,,,12,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.08,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmCEPValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,3,,,,6,,,1,4,0,,,,10,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmCNPJInvalido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,1,,,,5,,,1,3,0,,,,10,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmCNPJValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,3,,,,7,,,1,5,0,,,,11,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmCPFInvalido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,2,,,,5,,,1,3,0,,,,10,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmCPFValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,3,,,,7,,,1,5,0,,,,11,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmTelefoneValido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,5,,,,11,,,1,9,0,,,,11,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueDigitarUmValorMonetarioFormatado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,,,,3,,,,25,,,1,23,4,,,,12,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.16,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueUtilizarUmaMascaraGenericaSemValidadorOuEvento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,2,,,,6,,,1,4,0,,,,10,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueValidarUmBoletoSetandoOCodigoInteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,3,,,,6,,,1,4,0,,,,10,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.consegueValidarUmBoletoTributoSetandoOCodigoInteiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,3,,,,6,,,1,4,0,,,,10,1,0,3,4,1,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Private Method,br.com.concrete.canarinho.sample.DemoWatchersInstrumentationTest.navigateToTab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,,,,0,,,,8,,,1,6,0,,,,9,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
