Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,TesteFormatadorTelefone.java,2,2,2,1,13,2,11,0,,,,,1,0,0,4,,4,4,0,,,,4,,0,0,0,4,,77,,,,17,,,,60,,,18,33,0,,,,,,,29,38,13,,,25,,,,,,,,2,2,2,1,,,1,,,,0.00,8,8,8,4
Public Class,br.com.concrete.canarinho.test.TesteFormatadorTelefone,2,2,2,1,13,2,11,0,1,3,3,0,,0,0,,,,4,0,,,,4,4,0,0,0,4,,64,,,,13,,,,51,,,9,33,0,,,,,,,21,30,5,,,25,,,,,,,,2,2,2,1,,1,1,,0,0,0.00,8,8,8,4
File,TesteFormatadorValor.java,1,1,1,1,10,1,9,0,,,,,1,0,0,6,,6,6,0,,,,6,,0,0,0,6,,88,,,,16,,,,72,,,22,41,0,,,,,,,45,54,15,,,39,,,,,,,,2,2,2,1,,,1,,,,0.00,8,8,8,6
Package,br.com.concrete.canarinho.sample.ui.fragment,1,1,1,1,9,1,8,0,,,,,3,1,0,,3,,5,9,,,,6,,0,0,0,6,,125,,,,27,,,,98,,,55,35,0,,,,,,,69,80,51,,,32,,,,,,,,2,2,2,1,,,1,,,,0.00,8,8,8,6
Public Class,br.com.concrete.canarinho.test.TesteFormatadorValor,1,1,1,1,10,1,9,0,1,4,4,0,,0,0,,,,6,0,,,,6,6,0,0,0,6,,75,,,,12,,,,63,,,13,41,0,,,,,,,37,46,7,,,39,,,,,,,,2,2,2,1,,1,1,,0,0,0.00,8,8,8,6
Private Method,br.com.concrete.canarinho.validator.ValidadorBoleto.validaTributo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29,,,,7,,,,20,,,3,13,2,,,,6,6,1,8,14,3,,,12,,,7,7,8,6,5,,,,,5,,1,5,,,0.10,7,7,8,6
File,FormatadorCEP.java,1,1,1,1,3,0,3,0,,,,,2,1,1,6,,6,5,0,,,,6,,1,1,0,4,,42,,,,9,,,,30,,,14,8,3,,,,,,,8,17,10,,,8,,,,,,,,2,2,2,1,,,1,,,,0.10,7,7,7,6
File,TesteValidadores.java,1,1,1,1,14,2,10,1,,,,,1,0,0,7,,7,7,0,,,,7,,0,0,0,7,,132,,,,29,,,,92,,,23,61,11,,,,,,,57,65,15,,,50,,,,,,,,1,1,1,1,,,0,,,,0.12,7,7,7,7
Public Class,br.com.concrete.canarinho.formatador.FormatadorCEP,1,1,1,1,3,0,3,0,2,3,3,0,,1,0,,,,5,0,,,,6,6,1,1,0,4,,39,,,,8,,,,28,,,13,8,3,,,,,,,7,16,9,,,8,,,,,,,,2,2,2,1,,1,1,,0,0,0.11,7,7,7,6
Public Class,br.com.concrete.canarinho.test.TesteValidadores,1,1,1,1,14,2,10,1,1,2,2,0,,0,0,,,,7,0,,,,7,7,0,0,0,7,,120,,,,25,,,,84,,,15,61,11,,,,,,,50,58,8,,,50,,,,,,,,1,1,1,1,,1,0,,0,0,0.13,7,7,7,7
Public Static Class,br.com.concrete.canarinho.watcher.MascaraNumericaTextWatcher.Builder,1,1,1,1,11,0,4,6,1,5,5,0,,0,0,,,,4,3,,,,4,4,0,0,0,4,,60,,,,7,,,,23,,,8,9,30,,,,,,,11,17,8,,,9,,,,,,,,2,2,4,1,,1,1,,66,66,1.30,5,5,7,4
Private Method,br.com.concrete.canarinho.watcher.BaseCanarinhoTextWatcher.trataRemocaoDeCaracter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,,,,5,,,,16,,,5,11,6,,,,5,6,1,8,12,5,,,9,,,5,5,7,1,0,,,,,0,,2,0,,,0.38,5,5,7,1
Public Static Class,br.com.concrete.canarinho.sample.ui.model.Watchers.EventoDeValidacaoBoleto,3,3,3,1,9,2,6,0,2,3,3,0,,0,0,,,,2,0,,,,2,6,1,0,0,1,,30,,,,7,,,,18,,,6,9,5,,,,,,,5,12,3,,,9,,,,,,,,5,5,5,1,,2,1,,0,0,0.28,6,6,6,2
File,BoletoTextWatcherTest.java,1,1,1,1,9,1,8,0,,,,,2,0,0,6,,6,6,2,,,,6,,0,0,0,6,,83,,,,18,,,,63,,,31,28,2,,,,,,,40,47,25,,,25,,,,,,,,1,1,1,1,,,0,,,,0.03,6,6,6,6
File,CPFCNPJTextWatcher.java,1,1,1,1,7,0,4,2,,,,,1,0,3,4,,4,4,2,,,,4,,0,1,0,3,,59,,,,12,,,,32,,,20,13,15,,,,,,,19,25,19,,,12,,,,,,,,3,3,3,1,,,1,,,,0.47,6,6,6,4
File,Validador.java,1,1,1,1,6,0,3,3,,,,,2,0,0,6,,8,8,8,,,,8,,2,0,0,6,,113,,,,17,,,,37,,,20,15,59,,,,,,,21,29,20,,,14,,,,,,,,1,1,1,1,,,0,,,,1.59,6,6,6,6
